_geojson,@id,access,amenity,addr:city,addr:country,addr:postcode,addr:street,contact:phone,contact:website,landuse,name,nohousenumber,opening_hours,operator,owner,plant:method,plant:output:electricity,plant:source,power,recycling_type,repd:id,fee,park_ride,parking,source,supervised,surface,building
"{""type"":""Feature"",""properties"":{""@id"":""way/82640420"",""access"":""private"",""amenity"":""parking"",""addr:city"":null,""addr:country"":null,""addr:postcode"":null,""addr:street"":null,""contact:phone"":null,""contact:website"":null,""landuse"":null,""name"":null,""nohousenumber"":null,""opening_hours"":null,""operator"":null,""owner"":null,""plant:method"":null,""plant:output:electricity"":null,""plant:source"":null,""power"":null,""recycling_type"":null,""repd:id"":null,""fee"":null,""park_ride"":null,""parking"":null,""source"":null,""supervised"":null,""surface"":null,""building"":null},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4660744,51.4076456],[-0.4660369,51.4076372],[-0.4657123,51.4077209],[-0.4641137,51.4076071],[-0.4641114,51.4076423],[-0.4650697,51.4077924],[-0.4658414,51.4078687],[-0.4660744,51.4076456]]]},""id"":""way/82640420""}",way/82640420,private,parking,,,,,,,,,,,,,,,,,,,,,,,,,
"{""type"":""Feature"",""properties"":{""@id"":""way/82641250"",""access"":""private"",""amenity"":""parking"",""addr:city"":null,""addr:country"":null,""addr:postcode"":null,""addr:street"":null,""contact:phone"":null,""contact:website"":null,""landuse"":null,""name"":null,""nohousenumber"":null,""opening_hours"":null,""operator"":null,""owner"":null,""plant:method"":null,""plant:output:electricity"":null,""plant:source"":null,""power"":null,""recycling_type"":null,""repd:id"":null,""fee"":null,""park_ride"":null,""parking"":null,""source"":null,""supervised"":null,""surface"":null,""building"":null},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4657982,51.4061532],[-0.4658518,51.4060896],[-0.4656292,51.406021],[-0.4653046,51.4060043],[-0.4652993,51.4060461],[-0.464795,51.4060244],[-0.4647843,51.4060511],[-0.4655219,51.4061097],[-0.4657982,51.4061532]]]},""id"":""way/82641250""}",way/82641250,private,parking,,,,,,,,,,,,,,,,,,,,,,,,,
"{""type"":""Feature"",""properties"":{""@id"":""way/82641258"",""access"":""private"",""amenity"":""parking"",""addr:city"":null,""addr:country"":null,""addr:postcode"":null,""addr:street"":null,""contact:phone"":null,""contact:website"":null,""landuse"":null,""name"":null,""nohousenumber"":null,""opening_hours"":null,""operator"":null,""owner"":null,""plant:method"":null,""plant:output:electricity"":null,""plant:source"":null,""power"":null,""recycling_type"":null,""repd:id"":null,""fee"":null,""park_ride"":null,""parking"":null,""source"":null,""supervised"":null,""surface"":null,""building"":null},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4633144,51.406958],[-0.4633778,51.4063879],[-0.4629174,51.4066658],[-0.4626635,51.4066083],[-0.4626144,51.4067906],[-0.4627941,51.4068291],[-0.4627726,51.406891],[-0.4633144,51.406958]]]},""id"":""way/82641258""}",way/82641258,private,parking,,,,,,,,,,,,,,,,,,,,,,,,,
"{""type"":""Feature"",""properties"":{""@id"":""way/82641261"",""access"":""private"",""amenity"":""parking"",""addr:city"":null,""addr:country"":null,""addr:postcode"":null,""addr:street"":null,""contact:phone"":null,""contact:website"":null,""landuse"":null,""name"":null,""nohousenumber"":null,""opening_hours"":null,""operator"":null,""owner"":null,""plant:method"":null,""plant:output:electricity"":null,""plant:source"":null,""power"":null,""recycling_type"":null,""repd:id"":null,""fee"":null,""park_ride"":null,""parking"":null,""source"":null,""supervised"":null,""surface"":null,""building"":null},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4663573,51.4062604],[-0.4663579,51.4061574],[-0.4663948,51.406047],[-0.4664346,51.4060013],[-0.4666891,51.4059387],[-0.4667238,51.4058985],[-0.466678,51.4057815],[-0.466748,51.4056788],[-0.4665522,51.405654],[-0.4665072,51.4057498],[-0.4662006,51.4056937],[-0.4661808,51.405724],[-0.4661675,51.4057382],[-0.4661432,51.4057403],[-0.4661247,51.4057572],[-0.4660614,51.405816],[-0.4659239,51.4057692],[-0.4658871,51.4058362],[-0.4656288,51.405781],[-0.4656223,51.4058788],[-0.4659144,51.4058834],[-0.4660259,51.4059115],[-0.4661164,51.4059366],[-0.4659227,51.4062091],[-0.4658456,51.4062855],[-0.4657576,51.4064209],[-0.4657567,51.4064933],[-0.4661397,51.4065957],[-0.4663573,51.4062604]]]},""id"":""way/82641261""}",way/82641261,private,parking,,,,,,,,,,,,,,,,,,,,,,,,,
"{""type"":""Feature"",""properties"":{""@id"":""way/251060732"",""addr:city"":""Shepperton"",""addr:country"":""GB"",""addr:postcode"":""TW17 8QA"",""addr:street"":""Charlton Lane"",""contact:phone"":""+44 1932 782 792"",""contact:website"":""https://www.ecoparksurrey.uk"",""landuse"":""industrial"",""name"":""Eco Park Surrey"",""nohousenumber"":false,""opening_hours"":""Mo-Sa 08:00-16:00; Su 09:00-16:00"",""operator"":""Suez"",""owner"":""Surrey County Council"",""plant:method"":""combustion"",""plant:output:electricity"":false,""plant:source"":""waste"",""power"":""plant"",""recycling_type"":""centre"",""repd:id"":365,""access"":null,""amenity"":null,""fee"":null,""park_ride"":null,""parking"":null,""source"":null,""supervised"":null,""surface"":null,""building"":null},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4405781,51.4049436],[-0.4403772,51.4049578],[-0.4403229,51.4049883],[-0.4402838,51.4050345],[-0.4401709,51.4060671],[-0.4403775,51.4063393],[-0.4404286,51.406442],[-0.440437,51.406567],[-0.4403853,51.4074161],[-0.4404313,51.4074866],[-0.4405253,51.4075266],[-0.4416059,51.4075588],[-0.4416898,51.4075385],[-0.441786,51.4074707],[-0.4418892,51.4074307],[-0.4419739,51.4073651],[-0.4421019,51.4073209],[-0.4427689,51.4067674],[-0.4427835,51.4065056],[-0.4420824,51.4064886],[-0.4421602,51.4054336],[-0.4415146,51.4050702],[-0.4411935,51.4048799],[-0.4409805,51.4049616],[-0.4405781,51.4049436]]]},""id"":""way/251060732""}",way/251060732,,,Shepperton,GB,TW17 8QA,Charlton Lane,+44 1932 782 792,https://www.ecoparksurrey.uk,industrial,Eco Park Surrey,false,Mo-Sa 08:00-16:00; Su 09:00-16:00,Suez,Surrey County Council,combustion,false,waste,plant,centre,365,,,,,,,
"{""type"":""Feature"",""properties"":{""@id"":""way/255448023"",""access"":""customers"",""amenity"":""parking"",""fee"":false,""park_ride"":false,""parking"":""surface"",""source"":""Bing 2012"",""supervised"":false,""addr:city"":null,""addr:country"":null,""addr:postcode"":null,""addr:street"":null,""contact:phone"":null,""contact:website"":null,""landuse"":null,""name"":null,""nohousenumber"":null,""opening_hours"":null,""operator"":null,""owner"":null,""plant:method"":null,""plant:output:electricity"":null,""plant:source"":null,""power"":null,""recycling_type"":null,""repd:id"":null,""surface"":null,""building"":null},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4463921,51.4065671],[-0.4466903,51.4060208],[-0.4467505,51.4060401],[-0.44692,51.4058228],[-0.4465312,51.4056785],[-0.4467802,51.4053557],[-0.4467031,51.4053319],[-0.4467267,51.4052989],[-0.4465486,51.4052426],[-0.4464415,51.4053801],[-0.4462918,51.4055725],[-0.4461753,51.4056861],[-0.4461514,51.4057241],[-0.4461812,51.4057357],[-0.4461118,51.4058786],[-0.4459875,51.4061952],[-0.4459744,51.406246],[-0.4459997,51.4062867],[-0.4461098,51.4063771],[-0.4463921,51.4065671]]]},""id"":""way/255448023""}",way/255448023,customers,parking,,,,,,,,,,,,,,,,,,,false,false,surface,Bing 2012,false,,
"{""type"":""Feature"",""properties"":{""@id"":""way/257122987"",""amenity"":""parking"",""parking"":""surface"",""source"":""Bing 2012"",""access"":null,""addr:city"":null,""addr:country"":null,""addr:postcode"":null,""addr:street"":null,""contact:phone"":null,""contact:website"":null,""landuse"":null,""name"":null,""nohousenumber"":null,""opening_hours"":null,""operator"":null,""owner"":null,""plant:method"":null,""plant:output:electricity"":null,""plant:source"":null,""power"":null,""recycling_type"":null,""repd:id"":null,""fee"":null,""park_ride"":null,""supervised"":null,""surface"":null,""building"":null},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4524321,51.3970161],[-0.4525019,51.3970418],[-0.452519,51.3970579],[-0.4525192,51.3970732],[-0.4524788,51.3971166],[-0.4527087,51.3972049],[-0.452825,51.3970885],[-0.452545,51.3969658],[-0.4525214,51.3969555],[-0.4523723,51.3969086],[-0.4522997,51.396877],[-0.4521236,51.3970344],[-0.4521393,51.3970593],[-0.4523127,51.3971265],[-0.4524321,51.3970161]]]},""id"":""way/257122987""}",way/257122987,,parking,,,,,,,,,,,,,,,,,,,,,surface,Bing 2012,,,
"{""type"":""Feature"",""properties"":{""@id"":""way/257122990"",""amenity"":""parking"",""parking"":""surface"",""source"":""Bing 2012"",""access"":null,""addr:city"":null,""addr:country"":null,""addr:postcode"":null,""addr:street"":null,""contact:phone"":null,""contact:website"":null,""landuse"":null,""name"":null,""nohousenumber"":null,""opening_hours"":null,""operator"":null,""owner"":null,""plant:method"":null,""plant:output:electricity"":null,""plant:source"":null,""power"":null,""recycling_type"":null,""repd:id"":null,""fee"":null,""park_ride"":null,""supervised"":null,""surface"":null,""building"":null},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4523455,51.3963841],[-0.4522025,51.3965274],[-0.4521655,51.3965645],[-0.4522415,51.3965596],[-0.4523076,51.3965737],[-0.4523366,51.3965857],[-0.4525315,51.3966666],[-0.4526703,51.3967242],[-0.4526986,51.3966975],[-0.4527857,51.3966154],[-0.4528191,51.3965839],[-0.4523455,51.3963841]]]},""id"":""way/257122990""}",way/257122990,,parking,,,,,,,,,,,,,,,,,,,,,surface,Bing 2012,,,
"{""type"":""Feature"",""properties"":{""@id"":""way/946460322"",""access"":""private"",""amenity"":""parking"",""name"":""North Car Park"",""parking"":""surface"",""surface"":""asphalt"",""addr:city"":null,""addr:country"":null,""addr:postcode"":null,""addr:street"":null,""contact:phone"":null,""contact:website"":null,""landuse"":null,""nohousenumber"":null,""opening_hours"":null,""operator"":null,""owner"":null,""plant:method"":null,""plant:output:electricity"":null,""plant:source"":null,""power"":null,""recycling_type"":null,""repd:id"":null,""fee"":null,""park_ride"":null,""source"":null,""supervised"":null,""building"":null},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4673175,51.4086416],[-0.4666313,51.408311],[-0.4660863,51.4081178],[-0.4654262,51.4079754],[-0.4649546,51.4078825],[-0.4648239,51.4078928],[-0.4647728,51.4078843],[-0.4647327,51.4079864],[-0.4646642,51.408088],[-0.4650187,51.4082312],[-0.4650989,51.4082635],[-0.4653661,51.4084048],[-0.4668508,51.4093707],[-0.4669304,51.4093254],[-0.4670454,51.4093726],[-0.4670828,51.4093368],[-0.4674165,51.4090169],[-0.4674292,51.4087799],[-0.4673175,51.4086416]]]},""id"":""way/946460322""}",way/946460322,private,parking,,,,,,,,North Car Park,,,,,,,,,,,,,surface,,,asphalt,
"{""type"":""Feature"",""properties"":{""@id"":""way/946773298"",""access"":""private"",""amenity"":""parking"",""parking"":""surface"",""addr:city"":null,""addr:country"":null,""addr:postcode"":null,""addr:street"":null,""contact:phone"":null,""contact:website"":null,""landuse"":null,""name"":null,""nohousenumber"":null,""opening_hours"":null,""operator"":null,""owner"":null,""plant:method"":null,""plant:output:electricity"":null,""plant:source"":null,""power"":null,""recycling_type"":null,""repd:id"":null,""fee"":null,""park_ride"":null,""source"":null,""supervised"":null,""surface"":null,""building"":null},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4770234,51.3969227],[-0.4771413,51.3968333],[-0.4772267,51.3968295],[-0.4772857,51.396787],[-0.4773273,51.3967502],[-0.4775804,51.3965143],[-0.4771152,51.3963553],[-0.4767681,51.3968105],[-0.4770234,51.3969227]]]},""id"":""way/946773298""}",way/946773298,private,parking,,,,,,,,,,,,,,,,,,,,,surface,,,,
